"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/03/2025","1,353.66","1,361.33","1,362.49","1,349.70","475.72M","-0.52%"
"27/03/2025","1,360.77","1,360.73","1,364.06","1,358.79","427.59M","-0.05%"
"26/03/2025","1,361.44","1,371.02","1,376.69","1,359.00","570.43M","-0.61%"
"25/03/2025","1,369.77","1,371.72","1,378.22","1,367.37","624.64M","-0.10%"
"24/03/2025","1,371.19","1,363.08","1,371.19","1,355.30","620.71M","0.67%"
"21/03/2025","1,362.13","1,363.37","1,365.36","1,360.81","553.93M","-0.10%"
"20/03/2025","1,363.47","1,368.11","1,372.56","1,355.65","642.40M","0.02%"
"19/03/2025","1,363.26","1,371.04","1,371.98","1,359.42","654.16M","-0.73%"
"18/03/2025","1,373.22","1,382.62","1,384.70","1,373.22","638.34M","-0.39%"
"17/03/2025","1,378.63","1,374.25","1,379.65","1,372.82","653.40M","0.74%"
"14/03/2025","1,368.45","1,370.80","1,377.24","1,366.69","703.96M","-0.21%"
"13/03/2025","1,371.38","1,381.06","1,386.08","1,369.76","756.51M","-0.59%"
"12/03/2025","1,379.53","1,385.85","1,387.80","1,375.10","657.43M","-0.20%"
"11/03/2025","1,382.28","1,367.06","1,382.28","1,363.89","637.11M","0.19%"
"10/03/2025","1,379.71","1,385.59","1,389.66","1,376.11","660.69M","-0.07%"
"07/03/2025","1,380.67","1,376.63","1,382.27","1,374.23","681.23M","0.48%"
"06/03/2025","1,374.06","1,361.56","1,374.06","1,361.24","780.94M","1.25%"
"05/03/2025","1,357.07","1,365.96","1,374.24","1,357.07","577.72M","-0.55%"
"04/03/2025","1,364.61","1,356.60","1,366.32","1,347.13","702.97M","0.33%"
"03/03/2025","1,360.08","1,355.20","1,362.09","1,354.24","587.52M","0.35%"
"28/02/2025","1,355.34","1,358.10","1,360.11","1,349.66","560.52M","-0.37%"
"27/02/2025","1,360.40","1,358.31","1,360.40","1,346.72","640.96M","0.32%"
"26/02/2025","1,356.04","1,356.67","1,359.27","1,354.07","534.81M","0.07%"
"25/02/2025","1,355.10","1,360.26","1,363.09","1,350.59","605.13M","-0.21%"
"24/02/2025","1,357.98","1,350.69","1,357.98","1,346.67","604.80M","0.69%"
"21/02/2025","1,348.68","1,346.71","1,349.98","1,343.51","476.17M","0.14%"
"20/02/2025","1,346.76","1,347.10","1,349.44","1,344.42","502.25M","0.26%"
"19/02/2025","1,343.21","1,333.61","1,344.03","1,332.30","514.47M","0.81%"
"18/02/2025","1,332.45","1,330.16","1,340.31","1,328.06","440.19M","0.30%"
